label,text
0,"Hello, I wanted to follow up on the project we discussed."
1,"Congratulations! You've won a $1000 gift card. Claim it now!"
0,"Hi, just checking in to see how things are going on your end."
1,"Dear customer, you have an urgent message from your bank account."
0,"Just wanted to remind you about the meeting tomorrow at 10 AM."
1,"You're eligible for a limited-time discount on our services. Act now!"
0,"Here's the report I promised. Let me know if you have any questions."
1,"This is not spam! Your account is at risk, click here to fix it immediately."
0,"Thanks for your email. I'll get back to you by the end of the day."
1,"Win an iPhone! All you need to do is click on the link below and claim your prize!"
0,"Here's a copy of the document you requested. Let me know if you need anything else."
1,"Important security notice: Please update your account details urgently!"
0,"Hope you're having a great day! Let's catch up soon."
1,"Limited time offer! Get 50% off your next purchase. Click now!"
0,"Reminder: Your subscription will renew in 3 days. Contact us if you have questions."
1,"Hurry! Your account has been compromised. Reset your password immediately!"
0,"Looking forward to seeing you at the conference next week."
1,"Exclusive offer! Buy now and get a free vacation trip to the Bahamas!"
0,"I need to reschedule our call for tomorrow afternoon."
1,"You won a free laptop! Just pay the shipping and handling fees to claim it."
0,"Can we set up a meeting for next week? Let me know your availability."
1,"Congratulations! You're a winner! Claim your prize now by clicking the link."
0,"I'll send over the contract details by the end of the day. Thanks!"
1,"Final notice! You’ve been selected for a limited-time investment opportunity!"
0,"Thanks for the update. I'll review the proposal and let you know."
1,"Your email account has been compromised. Please click here to secure it now!"
0,"Looking forward to our next team meeting. I’ll bring the presentation slides."
1,"Alert: Your email was accessed from an unknown location. Please click here to verify."
0,"I'll send the files you requested shortly. Thanks for your patience."
1,"Get rich quick with this foolproof investment strategy! Act now!"
